"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"eaSPLD@H\ZPO@SprRJJJIIJI[QQPiII[QEKZQVIK_G@oHu@D`EP@@@@AEU@@@@@ !B?g|@Kk\BbGvw_VsgdcC~@K]}?g?~_p@n@BxSzJRdmpJw_YHp_uFRL@T`H@W~@K]}D~`SzJRdiJRw@k\Bdc@`A_x@mwvw_[\BmpK~_{]}","","2723517-14-2","C35H32O3P2","562.58","monosubstituted","https://www.nature.com/articles/s41929-021-00661-7","Nature Catalysis (2021), 4(8), 703-710","","0 structures","DS-31","Opt, SPE",""
"eaSX@D@@`O@SprRJJJIIJJKZJIEIJI[IDzIVY[PwHdlu@D`ET@AP@D@Q@@@@@ !B@EG~@K]}dd}lzH`BmpK~_{\B@ED@T_x@?`Aly{]}mww~@FshmpH@KjuO?g~w@k\BmpIlyvsgmwvw_[]}?`C~@JuOmpJw@k\BmpK~@K\B","N-[1-[Bis(diphenylphosphino)methylene]pentyl]-4-methylbenzenamine","916754-31-9","C37H37NP2","557.65","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.200600367","Chemistry - A European Journal (2006), 12(29), 7706-7716","","0 structures","DS-32","Opt, SPE",""
"eaWP@D@@O@SprRJJJIIJJKZJJJEIIIK[ZIVYCKWDTplx|u@D`ET@@@@@@@A@@@@ !B[N^w__x@@BzmS?y?mpJw@h`B[N]ly{]}mwu?T_x@tLuN`JuOmpHSzJuOmpJH@eRDFa?@ibnD_uE?T_x@?`C@f\BYFf@ZXJuOb@HZGrnD","","2566580-26-3","C38H28P2","546.58","monosubstituted","https://pubs.acs.org/doi/10.1021/acscatal.0c04199","ACS Catalysis (2020), 10(24), 14349-14358","","MALYOR (free ligand)","DS-33","Opt",""
"eaWP@D@@OCcprRJQQVJJJJIIIIJZ[YIGFNUG]OS@{Pxlt|uUUT@@@@@@@@@P@@@@ !BdHjQ_snTbj~PbkVPbGtWx{}I?g~H@a}Zqm}}mwvHbGvw_Xa}?`@{jsnk_?y??oy??g~H@h`Bqm|_VgvH_[^w__x@Nzl{jw?~_?x_Vovw","(3S,4R,11bS)-4-(1,1-Dimethylethyl)-3-(diphenylphosphino)-4,5-dihydro-3H-dinap...","1047679-91-3","C38H34P2","552.63","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S004040200800673X?via%3Dihub","Tetrahedron (2008), 64(29), 6943-6948","","0 structures","MS-61","Opt, SPE",""
"eaWP@D@@OCcprRJQQVJJJJIIIIJZ[YIGFNUG]OS@{Pxlt|uUUT@UPAU@E@@PT@@@ !BdHjQ_snTbj~PbkVPbGtWx{}I?g~H@a}Zqm}}mwvHbGvw_Xa}?`@{jsnk_?y??oy??g~H@h`Bqm|_VgvH_[^w__x@Nzl{jw?~_?x_Vovw","(3R,4R,11bS)-3-(Dicyclohexylphosphino)-4-(1,1-dimethylethyl)-4,5-dihydro-3H-d...","1047679-93-5","C38H46P2","564.72","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S004040200800673X?via%3Dihub","Tetrahedron (2008), 64(29), 6943-6948","","0 structures","MS-62","Opt, SPE",""
"eiSX@D@B`O@SprRJJJJJJJJIVqSIQQQPvhrhIkzgEfh@hbHjp@JHbHJ@@@@ !B@Hkba}WNNcgnrdk~ZVWQrogyj`{auZhNQTXVYQXZEfTu?djL]|gy~^{JZVUJ?fdZ\YTyNjhNEfTVFaYeEahu?mWaQdWUxPzjZQhyNaXZu^D","2,2-Bis[bis(2,4,6-trimethylphenyl)phosphino]acetonitrile","1200436-04-9","C38H45NP2","577.72","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/ja905676a","Journal of the American Chemical Society (2009), 131(49), 17836-17842","","0 structures","MS-63","Opt",""
"ei_P@D@@O@SprRJJJIIJI[QQPiIQQ[IH{RJqIZDyF{xgedVh@d@i@@h@@@@@@H@@@ !B?`A?TXa}mpJH@aOhkT?~_x`B?`C~@G}Q_uFH_QOgb@JH@juO?g~H@g|ndd?PsTz@bGvH_QOgD~]TaAh_pJXkaH`Bdd?@f\BYFf@ZXAh_JxP","1,1′-[2-(9H-Fluoren-9-ylidene)ethenylidene]bis[1,1-diphenylphosphine]","1313574-10-5","C39H28P2","558.59","monosubstituted","https://pubs.acs.org/doi/10.1021/om200357v","Organometallics (2011), 30(14), 3804-3817","","LOMLAC (Fe), PEKLOI, PEKMAV (Pd)","DS-34","Opt",""
"eePp@D@@OCcprRJQQVJJJJIIJIQJZXeIGFNUO]@kHwXtb|ruUUT@@@@PP@@@A@@@@@ !BdHhQ_snTbj~PbkVPbGtWx{}I^e~H@a}Zqm}}mwvHfyl`AXa}?`@{jsnk_?y??gi_WwizWx`B?g~H@l[_Guk}bOvwH@W~@CnkNzm??g?~Gui}mp","(3S,4R,11bS)-3-[Bis(2-methylphenyl)phosphino]-4-(1,1-dimethylethyl)-4,5-dihyd...","1047679-92-4","C40H38P2","580.68","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S004040200800673X?via%3Dihub","Tetrahedron (2008), 64(29), 6943-6948","","0 structures","MS-64","Opt",""
"eeWPLL@IIe`O@SpbhLdbbbdRRTRVtTTQRRRVtTQfSaUvOqHLMPAT@UP@EPATEU@D@@@ !Be^g~\`@S?`vUyiWfjnYTC^kFy]fUzYWi?gK~\jkf?`wA\mxMe^Zjyjki?gJUzZkieVYZ~nWYjnZjyoxM?`tn|deJw`w~\jki_gHMg`jND_KevP","","2413467-77-1","C36H43BO3P2","596.48","substituted bridge","https://pubs.rsc.org/en/content/articlelanding/2020/dt/d0dt00579g<NL>","Dalton Transactions (2020), 49(16), 5092-5099<NL>","","0 structures","DS-59","Opt, SPE","Not Yet Assigned"
"ee_X@D@N`O@SprRJJJIIJI[QQPiIJKZIEKZQVIK@gPtb|ru@E@EH@E@D@@@@@@@@@ !BicTdILw~tozYMSFrlcFYRiduicVfMUiZVeiueaHRs_zYM[Hqe[daLcFrlcFYMW}d]YYueeiZVejfMWViWcHaLkHqtozYMYVFeXZfMZXuWcJYMP","N-[3,3-Bis(diphenylphosphino)-1-phenyl-1-propen-1-yl]benzenamine","2243981-34-0","C39H33NP2","577.63","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","OFEHUF (free ligand)","MS-65","Opt, SPE",""
"ee_XHD@H``O@SprRJJJIIJJKZJZEIJJKYIGZIVY[HwXtb|ru@E@EL@AP@@@@@@@@@@ !B_vQePxs~hpT^SKO~FdLZOAiC?\k}rfUCYTNwbKRtYTNL?ayLFdMSr]XlKLgIK@AdFdMmDftRDaHRDfELg@VL?fUCubsIKOsJ?LhZPqiCg@UePp","2,2-Bis(diphenylphosphino)-N,N-diphenylacetamide","181266-84-2","C38H31NOP2","579.61","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/ic8020436<NL>https://pubs.acs.org/doi/10.1021/ic951412p","Inorganic Chemistry (2009), 48(4), 1624-1637<NL>Inorganic Chemistry (1996), 35(21), 5975-5985","","TORYOO (Cu, tridentate)","MS-66","Opt, SPE",""
"emPpLL@IEm`O@SpbhLdbbbdRRTRbvbbbQRRRvtTLJ\jnI~iaYQqj@J`Bh@@J@@hBj@B@@@ !BycjvYW|njlFIFneEjlDeUbdetekfNnXzmfVvYRTi?jiVIQjIpZjIFjkA?iTeUbUVVeZjpPeeNnXzybTiIRg~jozj[iWzv\FjIUYZUgYezd{yvVZE","","2413467-75-9","C37H37BO3P2","602.45","substituted bridge","https://pubs.rsc.org/en/content/articlelanding/2020/dt/d0dt00579g<NL>","Dalton Transactions (2020), 49(16), 5092-5099<NL><NL>","","TUKYOQ (Rh)","DS-60","Opt, SPE","Not Yet Assigned"
"emWP@D@@O@SpJHaHRDRDRDRDaDRDQHREaDaDaDRDSSIskzeFVjjjjjjjjjjjjjjjL`bDHSBtcd|`TfVr~bL@@ !BwB|HcCW~ZVUJ?fiIpTiiFhnZEfTVYXi?VjYZic\ynbKARbVYRoyJ?lkaNTWARlEJt]Wy~fdZRozj\]WQu]DO?aXZEaknuSiF~_ky~fdZZVUJ?dk~","Phosphine, methylenebis[bis[(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl]-","192325-04-5","C41H78P2","633.01","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>-","Science of Synthesis (2009), 42, 109-154<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876<NL>Patent","","0 structures","MB-128","Opt, SPE",""
"emWP@G@@O@SpRdLi@jPZdNi@ZPIdJYAfPEdIYAVPJHaHRDRDRDRDRHqHcHREaDaDRHqHcRIrk{EGfh@bBJJbh@HHJbh@@@@ !Beii?niZejYkJ?geyTZkJ?iZZu_zVfiTnqhVUKiZei@KJ?o{Uu_{~reFja]gFa[kFjZWJ?niIp\jVi]W~ejWZYm{Uvf[J?o{Ju_{~u\GJu\G^u\k^","Phosphine, methylenebis[bis[2-(trifluoromethyl)phenyl]-","326607-15-2","C29H18F12P2","656.38","methylene bridge","https://pubs.acs.org/doi/10.1021/om0494014","Organometallics (2004), 23(26), 6077-6079<NL>PMSE Preprints (2002), 86, 314-315<NL>Patent","","0 structures","MB-129","Opt, SPE, NoRh",""
"emXpLL@IEm`O@SpbhLdbbbdRRTRbvbbbQRRRvrjLJ\jnI~iaYQqeUj@J`Bh@@J@@h@@@@@@@ !BmfWfNg|nzTVjpXdZjlDeUbdetejvY[YeyckfNozjIReVIQjIpZjjpZkAVeXeUozUIUZjpPeeNnXzyozj?jheJRTi[iWzv\FjIUXeUehi?iW~eUhi","","2413467-76-0","C37H29BO3P2","594.38","substituted bridge","https://pubs.rsc.org/en/content/articlelanding/2020/dt/d0dt00579g","Dalton Transactions (2020), 49(16), 5092-5099","","0 structures","DS-61","Opt, SPE","Not Yet Assigned"
"emXxHD@Dh`O@SprRJJJQIIQQKZJYPiIQI[IUQHpirizdEdfTUVh@j@JZ@@`@@@@B@@@@@ !B?gJjzW|SjnZUyoxMjnX}jIWiyiW~\oyrjnfjz^ZjC_yuSnZUBcFUyjkfzZir?nfUzZhq]TyuNckfjnZjC_xM?ciE]SDJLPhq\o{ijcEuLWTzNgTq","3,3-Bis(diphenylphosphino)-1,4-diphenyl-2-azetidinone","127075-72-3","C39H31NOP2","591.62","disubstituted","-","Zeitschrift fuer Chemie (1989), 29(11), 408-9","","0 structures","DS-35","Opt, SPE",""
"em_XHD@An`O@SprRJJJIIJI[QQPiKKZFJISSRJqIYx{xefh@h@j@@X@`@bJh@@@@ !B?`@@?in[mpJH@`JH@k]zWu}z?`C~@@C~@OyU[xc}fynH?@JwOzftA?y?bOqzWu}zUV}U[xa}bOtEHKPGb@JdiE}zAR@@?`T`fym_^`Jw@hazWu}z","N-[2,6-Bis(1-methylethyl)phenyl]-3,3-bis(diphenylphosphino)propanamide","2569202-35-1","C39H41NOP2","601.70","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00662","Organometallics (2021), 40(2), 148-155","","0 structures","MS-67","Opt",""
"ek\pDD@HD@OAcpJHaDQHRDaDaDaHaHaHRLaHeDQDQDsLxd|fRnQeIUYuEMjj@JHHjj@@@@@@B@@@`Mh@ !BVfClE{}IdHh@DWLxbOw~@IQDVa?DyK}Ib@Jw?Hc|pMfkN|CYyMoDyNoDMk~?RTf@?`BH?_x@m?uZGyQDVa?_qhc|b@Jw@k_|pMg@vZl{jsnH?[]}eDS_q`","","1791455-20-3","C41H40O2P2","626.70","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-130","Opt, SPE, SPE_NoRh",""
"ek\|@D@GlZPO@SprRJJJIIJJKZJIEIJIXqPiI[QJsJY{ZFyDWUTvh@h@h@@@@B`@@@@@@@@ !B@B{~_{\B[N^RLK]}bGw~@K]}@Bx@Koy??g}lzK\B?g~w@iHpbGvmL@AQ?`Bw_[]}mwulzFshmpJw@k\B?g~w@`AQmwvH_[]}?`Bw__y??g~w@k\Bmwvw_P","2,2′:6′,2′′-Terpyridine, 4′-[bis(diphenylphosphino)methyl]-","288103-61-7","C40H31N3P2","615.64","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2000/cc/b002586k","Chemical Communications (Cambridge) (2000), (13), 1125-1126","","0 structures","MS-68","Opt, SPE",""
"egP|DD@IGOHA@OCcprRIQRJIJZIKQQQQQZJJJ^QRBJVEYWUPU@ETAUUQUUUUUP@@@ !B]_xVza[eZ^TJ?fgjHg}iyWBFEnUu?a[jEnjmLxkn^`WNRfgeZ^UizgW^Fblp|?[JtSUJsdkNAWiu?a[e]_{IjefeBlEYiZkVpWVJ{kgZ]_yiyPk~?gUu?oxJ","P-[3-[Bis(1-methylethyl)amino]-5,7-bis(1,1-dimethylethyl)-2,3-dihydro-2-pheny...","943868-05-1","C39H67N3O2P2","671.92","substituted bridge","https://aces.onlinelibrary.wiley.com/doi/10.1002/asia.200600075","Chemistry - An Asian Journal (2006), 1(1-2), 155-160","","0 structures","DS-62","","Phosphonous diamide, P-[3-[bis(1-methylethyl)amino]-5,7-bis(1,1-dimethylethyl)-2,3-dihydro-2-phenyl-1,4,2-benzodioxaphosphorin-3-yl]-N,N,N′,N′-tetrakis(1-methylethyl)-"
"eoQpBD@HDMC@OAcprRIIQQQIIISSQQIIII[SRiI[bQsHJkjX{ExdFeGeVtuvjh@h@h@@@@@@@@@``@@@@ !BQIQn_z~J`Dehxt]s@k\BbFAZv]~ODl[_@Ox@?dRkQJnO[WMG@h`Bm}g_XEkYwsnT_?xBmpC~@OyDjtRkGrT_I_vw_[\BmvAZNySYw?rw_?x_IQ|e?[]}m}g__?x","Dinaphtho[2,1-d:1′,2′-f][1,3,2]dioxaphosphepin, 4,4′-methylenebis-, (11bR,11′...","697757-00-9","C41H26O4P2","644.59","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2004/dt/b309385a","Dalton Transactions (2004), (1), 81-89","","0 structures","MB-131","Opt, SPE, SPE_NoRh",""
"eoRpFB@IEIemc`O@SpbhDjCIHhhiDdeDemEEEBdddemEEECLgBgjPVXT\RZ`Bh@j`@Jh@j`jjh@h@@ !BLcg~Hj]]Ld[~WTuFLdY?DwD]CfHrNSHy?bK~Hoy]STYjEQUj?etrQdtyLceMN_xbhfxQgYtQ[jK~W_y]STYMQb[MteeYtltfLcg~Heju\okyCXheIXhM~_irmUh","","2375562-88-0","C37H44B2O6P2","668.31","substituted bridge","https://pubs.rsc.org/en/content/articlelanding/2020/dt/d0dt00579g<NL><NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201903407","Chemistry - A European Journal (2019), 25(52), 12063-12067","","BOSTAH (free)","DS-63","Opt, SPE, NoRh","Not Yet Assigned"
"eoTp@D@@OAcprRJIJJJJISQQIIqQQZISQJoQPJZFxeTvhJHj@j``bHBbjBJ@D@JFB@@ !BPFmM?f[Jbe[ASQgJLozjNSKdjcdClx^YYlifuV[JpTtYrcK~]oVM[cDMq]hYrcK~LozjNPtqvlTML_x@YliM?f[JpTvJUlWZLPurSlifuVXYragJCSEM?lWZLPt","rel-(1R,1′R)-1,1′-Methylenebis[1-(phenylmethyl)-1-[2,4,6-tris(1-methylethyl)p...","1228778-72-0","C45H62P2","664.92","methylene bridge","https://pubs.acs.org/doi/10.1021/om100174c","Organometallics (2010), 29(11), 2465-2473","","0 structures","MB-132","Opt, SPE",""
"eoTp@F`@O@SpddMIBrP|dLiBjPZdAiBzP^dOiBFPqdJYCfPedEY@vPmdGYCIHhheEEEEMMieEL]EEEKMilSB`ndQV]Z`BbHbhh`BhbHbbh@@@@ !B@Fs~apw^jng~\iWijndiroxMjnZUyjkfe^[~CZkf?`uv~@]njng~\oyre^fjzZkibgXeAmgeJ\jjyoxMVggn|kTI{oIVuPw^qnhMwhivIPXeAmgeJ\hirn{rC]x","1,1′-Methylenebis[1,1-bis(2,3,4,5,6-pentafluorophenyl)phosphine]","913069-16-6","C25H2F20P2","744.20","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.201506581<NL>https://www.sciencedirect.com/science/article/abs/pii/S0040403908004048?via%3Dihub<NL>https://pubs.acs.org/doi/10.1021/om070089i<NL>https://www.sciencedirect.com/science/article/abs/pii/S1387700306000475?via%3Dihub","Angewandte Chemie, International Edition (2015), 54(49), 14866-14870<NL>Tetrahedron Letters (2008), 49(17), 2697-2700<NL>Organometallics (2007), 26(10), 2659-2671<NL>Inorganic Chemistry Communications (2006), 9(4), 407-409","","GIFXEZ, GIFXUP (Ru), GIFXID (Ir), GIFXOJ (Rh)","MB-133","Opt, SPE",""
"eoVpBB@FHnbPO@SpthGjCIHhhddhhmDeECEdeDmhdkDUe@cHbmkl_bTQ^][WZ`jBBb`B`@`@h@@@``@@@ !BdcBH?[_}@BxSzH`B?g~w@iHpdcBH?Xc}m?tEHK_}D~c~_x`B?g?~_u}ziJRw@oy?bOw~@K_}AR@EHK_}m?vH?X`Bb@JdiOy?mpK~_?y??`Bw?_x@bOvw@k\B?`@","Phosphine, methylenebis[phenyl(2-phenyl-4H-1,3,2-benzodioxaborin-4-yl)-","205379-19-7","C39H32B2O4P2","648.24","methylene bridge","-","Russian Journal of General Chemistry (Translation of Zhurnal Obshchei Khimii) (1997), 67(3), 349-358","","HOVYUM (free ligand)","MB-134","Opt, SPE, NoRh",""
"ehvv@DDHDIGO@`O@SpddKldbbbbffbTTTTTTultrTTTTMjhxrnz^VNymu]jji@JRHbj`@JHbHJ``@@_qAHP !BrfxaM\oLwBHVYVUiZheU}JTYJgDQRoxuYQ[VZcV^iQfzafxunhYUCfUiFfeeZ_yJRnxEAg|MxThQRfTV}biFQTUFXSVzafUiRnxyNdkn|UVU|QyJe_DzNTYEXSUJ{iWq","","3040941-56-5","C41H52N6P2","690.84","substituted bridge","https://www.science.org/doi/10.1126/science.adk6533","Science (Washington, DC, United States) (2024), 383(6678), 81-85","","0 structures","DS-64","Opt, SPE","Not Yet Assigned"
"elvp@F@@O@Sp~\@WCUpM\BbHRDaDQDRDsHRDQDQDQLqDQHaHaDEDbDbEOC@akegj`B@J@@h@|Jjjkzjj@@@@ !B_?xn@@Jw?[_}bCBRyvp@?g?~_?xn@Bx@zFpBmwvHyvppkUD@?[\@?g?~K`Ch[Nal@k\Bmw?~K`AQ@@C~_?xn@Nal@k]??ox@?g|n@@AQ_r{h[@JwzFpBm~alD~alypJwmwvH@`","1,1′-Methylenebis[1,1-bis[4-[2-(trimethylsilyl)ethynyl]phenyl]phosphine]","1054648-90-6","C45H54P2Si4","769.20","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2009/ob/b821682g<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.200800084","Organic & Biomolecular Chemistry (2009), 7(8), 1665-1673<NL>Chemistry - A European Journal (2008), 14(19), 5941-5950","","0 structures","MB-135","Opt, SPE",""
"elypDD@HD@OAcpJHaDQHRDaDaDaHaHaHRLaHeDaHQDaHSJqlxd|fRnQmi]E}uCjj@JHHjj@@@BHBH@j@@@`Sh@ !BlXIbVPueFgIbIetV@o{yDhzBbeU?a@ue~aI}?ohRpcZqo\HvVcIMVbUMF`tMYVUr~QHB?odR~VvJUXzBwTfJU_hR~aI}?ohR__{z[\HvpcZqo[Tjl[wBM`K~~VvN`hiU__zqoP","","1791455-21-4","C47H52O2P2","710.86","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-136","Opt, SPE, NoRh",""
"ef}t@D@@h`O@SprRJJJIIJJKZJIEIJJKZJJJESQJZZIVY[HwXlfjqu@E@EL@AP@@@QDQUET@@@@@ !BQiUkO?xrLmximUZuS]{JYmUfQiUFeSfUNYVZoIc~?cKUFRfuS]xr?agJYmUfrlflzsIfrf[JLoxr?mkZCT{~LmTYF\ifrcErb@Hq\m_HuVYfu]Uf_?xMSoxrraeN\`tquQdYuSK~F\hYuP","N,N′-Bis[2,6-bis(1-methylethyl)phenyl]-2,2-bis(diphenylphosphino)ethanimidamide","2738390-03-7","C50H56N2P2","746.94","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202102243","Chemistry - A European Journal (2021), 27(61), 15119-15126","","PASGID (free ligand)","MS-69","Opt",""
"gnpD@PH@FDPXJ@^@cptTDJ`rRJJIIJJKQJJJFIIIJI[ZIQNIKKYPDLQBaqxrA\dPjeZuAduXlvjBhHJJ@B`@B@@h@@@@HB@@@@ !BkSBw_Xa}_rylzK\B?g~H@jtpkSBw_[]}bGw~@JR[[Nc~_{\B?g?~_x`Bm?rH?@U_HGk~@K]}bOvH?Xa}?`C~@JR[iImzHK_|mpJH?Hc|HGhEWrAzHGj[iK_}iIm_AWh`^bAzH@U_AU~[iE|E","Phosphine, methylenebis[phenyl(3-phenyl-1H-naphtho[2,1-d][1,3,2]dioxaborin-1-...","205379-20-0","C47H36B2O4P2","748.36","methylene bridge","-","Russian Journal of General Chemistry (Translation of Zhurnal Obshchei Khimii) (1997), 67(3), 349-358","","0 structures","MB-137","Opt, SPE, NoRh",""
"gipE`@PHHBBPdrE@G`H|IDeNrRJJJJJJJJIIIIIQS[[QQQQiIII[YiBFHefHxR]U`sYMvKCjjjZjjijjjjjjjjjjjjjjh@@_q@dD !Bihhm?jZu?fbgIifu_{iR?ifumZZJikDrIRTm?jZulSHeIZZuihjYm_yR?eIMcdvNf[VYmTvNSXzYmQqzIEK~ThjfIRVfmRTeK_zfmU{RJkg~ThjYbjZuiifuf[WreoJVbjZJioyR?eJfmRjybifui`","Phosphonous diamide, P,P′-(diazomethylene)bis[N,N,N′,N′-tetracyclohexyl-","141958-14-7","C49H88N6P2","823.21","substituted bridge","https://pubs.acs.org/doi/abs/10.1021/ja00041a025","Journal of the American Chemical Society (1992), 114(15), 6059-63","","0 structures","DS-65","Opt","Phosphonous diamide, P,P′-(diazomethylene)bis[N,N,N′,N′-tetracyclohexyl-"
"emwp@D@@O@SprRJJIIIQ[QQIIII[IIIIIIIIIIIHiISppHZyYzh@`B`@J@JBjjjjjjjjj@@@@ !Byvs}mpC~K`AOkW?~?K_|bN]lyvs}m?vw@OyQ@D~m?K\Bb@JwSyKh[N]l?[\@?`C~TPAQ@D~m?K_|m~alyvs}mpC~TPAOk_rw@k_h[N]l?[\@?eD@Szw|mpJwzFsg[Ovw@OyQ@D~m?K\Bm~al@OyQ@@JwzFp","","2408832-18-6","C57H86P2","833.24","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2019/gc/c9gc03006a","Green Chemistry (2019), 21(23), 6307-6317","","0 structures","MB-138","Excluded",""
"emwp@G`@O@SpddMIBrP|dLiBjPZdAiCzPadLYBfPydAYBVPUdMY@vPmdOY@NPSdJyAnP{dAyB^PWdBbHRDaDaHRDaHrLrLRDcBrDaHRDbDbLcLcIKHaH`phKiEufNh@hbHjJH@jHbJjhhjjj@@@@ !BDBk~ipuN[kHZA]TYradq\fUz|gXQc_IvuV[~S\if?dvZoG?~[kHZAQhEuQgJF\hYF\hr?agUF\hDNoyMS_yfrf[UYlifuTw~YliM?`gr|gYv}Tw~?dtr?agJLoxr?agUF\hYr`JHS_yfrmUfrag~STw~?cH","1,1′-Methylenebis[1,1-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]phosp...","1260109-29-2","C29H2F28P2","944.23","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2019/gc/c9gc03006a","Green Chemistry (2019), 21(23), 6307-6317","","DIDQAK (free ligand)","MB-139","Opt, SPE",""
"gmqD@@P@@G`H|LdbbbTRbTRTRTTTVRrTRbqrTRTNRrqh\DeqhBVGOdiDjMY`sZmNGKjifBBh@@Id@@HH@@@@@BB@@@@@ !B?iKMB\kyF@CM]`gM~\jreiHQrSHItmkeKUFm?`iYKeJzjkjjKR{Zz`gMB\uYBeeugjwjv`uxdi{IL`gRB]HmTZw~k_zrj]WyTeFmOhZJI`kZzeeugjv^k]kj]ltY\aerVPjR?mWyTeERTXZJI`hfBg[Mdox","1,1′-Methylenebis[2,3,4,5-tetraphenyl-1H-phosphole]","34673-82-0","C57H42P2","788.89","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0040402001917193?via%3Dihub","Tetrahedron (1971), 27(22), 5523-37","","0 structures","MB-140","Opt, SPE",""
"gmKd@@P@@G`H|LdbbbRRTVtTRRRRVrRRRRRRRRRRRRRRRRRRRJRT^C@PY\VOJ`B@J@@h@hJjjjjjjjjjjjjjj@@@@ !B@OyQ@Gvw@k\BbD~RzFq??`C~@OyQ@ED@yvs}mpJHzFpn@D~m_?xBmpC~TPCg[N]l?[_}m?rwSyIOkPJw@OyQ@N]l?[\Bm~alSztBmpC~TPCg[Ovw@k_h[D~m@k\@?eD@yvs}mpJwzFqOkPJw@OyQ@N]l?[\Bm~alSztBmpC~TPCg[Ovw@k_h[D~m@k_g[OvwSztBmp","","2408830-92-0","C73H118P2","1057.67","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2022/gc/d2gc02598a<NL>https://pubs.rsc.org/en/content/articlelanding/2019/gc/c9gc03006a<NL>","Green Chemistry (2022), 24(20), 8069-8075<NL>Green Chemistry (2019), 21(23), 6307-6317<NL>","","0 structures","MB-141","Excluded",""
"d^EQ@@Ab@@CpDOCDdBRPYICddMRPMIAtdORPsI@ldFrP{IB\dErPOIB|dOrP@iABdLJPhiAbdAJPdiCRdCJP\iCrdHjPRi@jdJjPzi@ZdEjPviBzdGjPAiBFdLZPIiAfdNZPeiAVdCZPmiCvd@zPciANdLzPKiBndFzPGiB^dMzPOiA~dOzP`YAAdLFPHYBadFFPJHaHRDQDQHSLaHQDQDQDsDQDbDbDPh`haDJHJHRHRHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHJHVHJHJHJHTO@pBAbxVGbh@`B`@J@JBjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj`@@@@ !Bb@Jw@oy?bOw~@Ox@m?vH_X`Bb@Jw@k\B@B{~_?x@m?ulyyHpbOvw?X`BmpH@K`@n?g?~_?x@m?vRLK_}b@Jw@`@n?g|Bm?vHb@HBbOvwmpJRLK_}_X`Bmx`B@ha}m{\B@B{~_pJw?XbH@`JH?[^w@by?TP@@Kg?~@O{~_pJw?XbH@`JH?[^w@eD@Kg|@Kg?~@O{~_pJw?XbH@`JH_[^w@by?TP@@K`C~_?{~_pJw?XbH@`JH?[^w@by?TP@@K`C~_?{~_wvH@k^H@`JH?[^w@by?TP@@K`C~_?{~_x`B_X`Bm{\B?[\BbED@Kg|@K`C~_?{~_uD@Kg|@K`C~_?{~_p@nTP@n_?y?@Oy??`","Phosphine, methylenebis[bis[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadeca...","872598-31-7","C65H34F68P2","2168.81","methylene bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.200500281","European Journal of Organic Chemistry (2005), (24), 5248-5261","","0 structures","MB-142","Excluded",""
